YEAR_MONTH_KEY,GENRE,TITLES_ADDED,PCT_OF_MONTH
2000-01-01,Unknown,37,100.00
2001-01-01,Unknown,45,100.00
2002-01-01,Unknown,51,100.00
2003-01-01,Unknown,61,100.00
2004-01-01,Unknown,64,100.00
2005-01-01,Unknown,80,100.00
2006-01-01,Unknown,96,100.00
2007-01-01,Unknown,88,100.00
2008-01-01,Unknown,136,100.00
2009-01-01,Unknown,152,100.00
2010-01-01,Unknown,194,100.00
2011-01-01,Unknown,185,100.00
2012-01-01,Unknown,237,100.00
2013-01-01,Unknown,288,100.00
2014-01-01,Unknown,352,100.00
2015-01-01,Unknown,560,100.00
2016-01-01,Unknown,902,100.00
2017-01-01,Unknown,1032,100.00
2018-01-01,Unknown,1147,100.00
2019-01-01,Unknown,1030,100.00
2020-01-01,Unknown,953,100.00
2021-01-01,Unknown,592,100.00
