YEAR,RATING_GROUP,TITLES_ADDED,PCT_OF_YEAR
2000,Adults,14,37.84
2000,Kids,8,21.62
2000,Teens,15,40.54
2001,Adults,25,55.56
2001,Kids,10,22.22
2001,Teens,10,22.22
2002,Adults,30,58.82
2002,Kids,5,9.80
2002,Teens,16,31.37
2003,Adults,40,65.57
2003,Kids,8,13.11
2003,Teens,13,21.31
2004,Adults,32,50.00
2004,Kids,13,20.31
2004,Teens,17,26.56
2004,Unknown,2,3.13
2005,Adults,44,55.00
2005,Kids,10,12.50
2005,Teens,26,32.50
2006,Adults,60,62.50
2006,Kids,10,10.42
2006,Teens,25,26.04
2006,Unknown,1,1.04
2007,Adults,49,55.68
2007,Kids,16,18.18
2007,Teens,21,23.86
2007,Unknown,2,2.27
2008,Adults,82,60.29
2008,Kids,20,14.71
2008,Teens,33,24.26
2008,Unknown,1,0.74
2009,Adults,91,59.87
2009,Kids,20,13.16
2009,Teens,41,26.97
2010,Adults,118,60.82
2010,Kids,25,12.89
2010,Teens,46,23.71
2010,Unknown,5,2.58
2011,Adults,102,55.14
2011,Kids,40,21.62
2011,Teens,41,22.16
2011,Unknown,2,1.08
2012,Adults,156,65.82
2012,Kids,33,13.92
2012,Teens,42,17.72
2012,Unknown,6,2.53
2013,Adults,181,62.85
2013,Kids,52,18.06
2013,Teens,44,15.28
2013,Unknown,1,0.35
2013,Unknown,10,3.47
2014,Adults,228,64.77
2014,Kids,50,14.20
2014,Teens,66,18.75
2014,Unknown,8,2.27
2015,Adults,395,70.54
2015,Kids,56,10.00
2015,Teens,88,15.71
2015,Unknown,2,0.36
2015,Unknown,19,3.39
2016,Adults,645,71.51
2016,Kids,103,11.42
2016,Teens,131,14.52
2016,Unknown,23,2.55
2017,Adults,775,75.10
2017,Kids,110,10.66
2017,Teens,143,13.86
2017,Unknown,3,0.29
2017,Unknown,1,0.10
2018,Adults,870,75.85
2018,Kids,140,12.21
2018,Teens,135,11.77
2018,Unknown,2,0.17
2019,Adults,791,76.80
2019,Kids,122,11.84
2019,Teens,117,11.36
2020,Adults,691,72.51
2020,Kids,161,16.89
2020,Teens,101,10.60
2021,Adults,442,74.66
2021,Kids,91,15.37
2021,Teens,59,9.97
